"AmountId","CurrencyId","Amount",
"20001","1","384.202011",
"20002","2","1231.10819172",
"20003","3","1.1068",
"20004","4","1221.68367593",
"20005","1","7984",
"20006","2","114537720.4738",
"20007","3","0",
"20008","4","0",
"20009","1","5.66",
"20010","2","16019.71199141",
"20011","3","5137079.70106",
"20012","4","629000.2942868",
"20013","1","32",
"20014","2","129.2",
"20015","3","25427.447925",
"20016","4","6712445.2368263",
"20017","1","49017997.17407",
"20018","2","35616.87231",
"20019","3","19.50637",
"20020","4","22.701594",
"20021","1","0.65666161",
"20022","2","19665.21132",
"20023","3","96",
"20024","4","37800.8",
"20025","1","34.85814561",
"20026","2","1.19",
"20027","3","0.8011",
"20028","4","390391.48",
"20029","1","95.9",
"20030","2","269346488.44301",
"20031","3","1.18900962",
"20032","4","2253864.4",
"20033","1","23761",
"20034","2","3792496.3",
"20035","3","2476223.3",
"20036","4","0.05095",
"20037","1","0",
"20038","2","257.7",
"20039","3","0",
"20040","4","0",
"20041","1","747.4085",
"20042","2","7.79789953",
"20043","3","1.78515",
"20044","4","2146387.39561",
"20045","1","886602.00755",
"20046","2","0",
"20047","3","20220493.08",
"20048","4","193860316",
"20049","1","5960.41",
"20050","2","2084011.9440696",
"20051","3","48783485.2901",
"20052","4","39624900.672716",
"20053","1","0",
"20054","2","35808978.408053",
"20055","3","47840861.664981",
"20056","4","8162533.6227618",
"20057","1","0",
"20058","2","156695911.08603",
"20059","3","1.90711",
"20060","4","26.571",
"20061","1","1.261888",
"20062","2","642.985",
"20063","3","0",
"20064","4","91246592.349",
"20065","1","315863.6697153",
"20066","2","54753.524",
"20067","3","1.3664",
"20068","4","2382569",
"20069","1","394535.817",
"20070","2","254.54548",
"20071","3","0",
"20072","4","0.49",
"20073","1","102858611.3",
"20074","2","410890.12166",
"20075","3","13646.911548",
"20076","4","214.3395032",
"20077","1","6181.73033",
"20078","2","887.442",
"20079","3","21.60532",
"20080","4","3395.03547",
"20081","1","2.882",
"20082","2","1.368302763",
"20083","3","112705.31222142",
"20084","4","377.222022",
"20085","1","34.9",
"20086","2","2487.660741",
"20087","3","8530.4",
"20088","4","384",
"20089","1","37028448.921623",
"20090","2","0",
"20091","3","2.210592459",
"20092","4","97.246269113",
"20093","1","212537.473244",
"20094","2","75192.778465",
"20095","3","8.045033",
"20096","4","3.48624",
"20097","1","103",
"20098","2","0",
"20099","3","299847278.80296",
"20100","4","8281495.87824",
"20101","1","0.027123619",
"20102","2","18561.30204",
"20103","3","0",
"20104","4","0",
"20105","1","0",
"20106","2","805",
"20107","3","0",
"20108","4","295.90431",
"20109","1","419202.87738978",
"20110","2","576016805.524",
"20111","3","3.1",
"20112","4","0.751",
"20113","1","5.09233",
"20114","2","138918.5",
"20115","3","18102.09366",
"20116","4","38138.1954433",
"20117","1","42493312",
"20118","2","4182.046933",
"20119","3","2",
"20120","4","59.83014434",
"20121","1","735564.20120762",
"20122","2","1.7",
"20123","3","37428475.39813",
"20124","4","905.2",
"20125","1","0",
"20126","2","3.1807",
"20127","3","17209829.744091",
"20128","4","0.10204",
"20129","1","1805.98",
"20130","2","208.3157235",
"20131","3","11455104.245816",
"20132","4","625675408.72151",
"20133","1","18786231.316884",
"20134","2","556518.9332",
"20135","3","37737624.3541",
"20136","4","0",
"20137","1","7.14671022",
"20138","2","306359.55486837",
"20139","3","5818.0236295",
"20140","4","11439235.9",
"20141","1","158582639.0815",
"20142","2","72929945.1608",
"20143","3","6877.9",
"20144","4","11466.50099885",
"20145","1","111798.41338183",
"20146","2","0",
"20147","3","238.310039849",
"20148","4","29.04",
"20149","1","325.3799102",
"20150","2","307578.3",
"20151","3","73.94042",
"20152","4","745104837.6",
"20153","1","0.83",
"20154","2","392117.1",
"20155","3","302162.356",
"20156","4","3443.133",
"20157","1","2692543.311",
"20158","2","30072362.9175",
"20159","3","800.4661447",
"20160","4","797.9977255",
"20161","1","31616.8456",
"20162","2","1305299.642186",
"20163","3","4964727.53",
"20164","4","2831222.671484",
"20165","1","6723328.428",
"20166","2","148.28625946",
"20167","3","432866.0524",
"20168","4","8707931.9209213",
"20169","1","709725.89",
"20170","2","7417645.4",
"20171","3","0",
"20172","4","3.81152813",
"20173","1","95.70822",
"20174","2","33844.957274388",
"20175","3","907031541.2",
"20176","4","48787595.50835",
"20177","1","2115259.767038",
"20178","2","35.2042",
"20179","3","196508.132634",
"20180","4","0",
"20181","1","1040.525443",
"20182","2","5153.1747",
"20183","3","24174355.801636",
"20184","4","39761.179489",
"20185","1","0.943",
"20186","2","156.97",
"20187","3","693634175",
"20188","4","309.437",
"20189","1","51919.2821868",
"20190","2","22030024.5",
"20191","3","48870734.110086",
"20192","4","0.9751",
"20193","1","0",
"20194","2","186934.74897474",
"20195","3","1",
"20196","4","0",
"20197","1","1026447",
"20198","2","0",
"20199","3","2",
"20200","4","14.9671",
"20201","1","6.764619",
"20202","2","9204.98133",
"20203","3","29400.608",
"20204","4","777251279.91744",
"20205","1","15.18",
"20206","2","0",
"20207","3","0",
"20208","4","51100622.5",
"20209","1","0",
"20210","2","40",
"20211","3","0",
"20212","4","45.1262",
"20213","1","6685.4",
"20214","2","0",
"20215","3","881.951812877",
"20216","4","0",
"20217","1","85761672.837196",
"20218","2","2047181.8120638",
"20219","3","87.395809819",
"20220","4","1519451.69",
"20221","1","2620.428226944",
"20222","2","7432367.33448",
"20223","3","0",
"20224","4","21222564",
"20225","1","4108",
"20226","2","30.06",
"20227","3","21588713.66",
"20228","4","57.91",
"20229","1","130753410.12936",
"20230","2","320176290.87471",
"20231","3","1806777.4979102",
"20232","4","50.02793",
"20233","1","4230.820075958",
"20234","2","48412.5567",
"20235","3","341.77775",
"20236","4","3194371.77092",
"20237","1","0",
"20238","2","1982401.093",
"20239","3","1534.9060454",
"20240","4","0",
"20241","1","1.413610591",
"20242","2","73.1",
"20243","3","0",
"20244","4","347533189",
"20245","1","0",
"20246","2","80791718.097339",
"20247","3","89.15934871",
"20248","4","0",
"20249","1","46",
"20250","2","211.327942301",
"20251","3","0.012757",
"20252","4","36181391.84",
"20253","1","71827951.7377",
"20254","2","26.26809",
"20255","3","33214.295539",
"20256","4","3026115.4",
"20257","1","5.977019",
"20258","2","1.7",
"20259","3","55.885373063",
"20260","4","4362.53003",
"20261","1","0",
"20262","2","73969.907",
"20263","3","5585381.9340232",
"20264","4","312.6474",
"20265","1","30750.1913",
"20266","2","36649518.79142",
"20267","3","34.87651718",
"20268","4","70934225.911169",
"20269","1","2146.0264",
"20270","2","47428934.32",
"20271","3","16.180153",
"20272","4","0",
"20273","1","3511.82929762",
"20274","2","67760587",
"20275","3","86690.05595",
"20276","4","46229196.461647",
"20277","1","192193.5692",
"20278","2","587750353.6117",
"20279","3","371814210.75",
"20280","4","0",
"20281","1","23421.967796591",
"20282","2","24797.6247185",
"20283","3","29907",
"20284","4","552791.0425",
"20285","1","0",
"20286","2","0",
"20287","3","0",
"20288","4","7450592.98503",
"20289","1","269.763",
"20290","2","46557.988",
"20291","3","4406.54962489",
"20292","4","3.5159",
"20293","1","206783549.175",
"20294","2","321.87027064",
"20295","3","47.26",
"20296","4","15755.8911345",
"20297","1","0",
"20298","2","11.020333",
"20299","3","568.23",
"20300","4","17385349.303145",
"20301","1","60.2",
"20302","2","1.0222",
"20303","3","488836519.59524",
"20304","4","31725967.621581",
"20305","1","65634148.21109",
"20306","2","299.08",
"20307","3","72466.619",
"20308","4","111.73",
"20309","1","0",
"20310","2","57",
"20311","3","13.3407477",
"20312","4","170740.78711686",
"20313","1","0.387477",
"20314","2","1.792",
"20315","3","283.5806651",
"20316","4","6458044.97",
"20317","1","5.08945",
"20318","2","1763472.782616",
"20319","3","28.1571165",
"20320","4","3112841.2795585",
"20321","1","0",
"20322","2","0.239",
"20323","3","15733690.592097",
"20324","4","746735993.23325",
"20325","1","27365.94",
"20326","2","10204.643843027",
"20327","3","1353.110374",
"20328","4","2064.089174954",
"20329","1","2.7",
"20330","2","464290744.37372",
"20331","3","7.9062217",
"20332","4","175919",
"20333","1","4618181.05",
"20334","2","407.188",
"20335","3","413108194.5",
"20336","4","155344.512",
"20337","1","54895.567540269",
"20338","2","46001356.86",
"20339","3","199",
"20340","4","17443.134341735",
"20341","1","3033014.8377795",
"20342","2","0",
"20343","3","5070.471348211",
"20344","4","5104262.865427",
"20345","1","2333.018102",
"20346","2","55.65",
"20347","3","3789194.07935",
"20348","4","133.116",
"20349","1","0.118197",
"20350","2","1144238.885",
"20351","3","19170.284773791",
"20352","4","3049.6",
"20353","1","19237011.285506",
"20354","2","23204379.163448",
"20355","3","2.868129",
"20356","4","2472.047124",
"20357","1","78.65188",
"20358","2","46884549.579",
"20359","3","0",
"20360","4","8009557.9802606",
"20361","1","349.0888",
"20362","2","6685335.1",
"20363","3","8",
"20364","4","678089",
"20365","1","53.901318029",
"20366","2","0",
"20367","3","478.88105103",
"20368","4","56.1023",
"20369","1","6167.6",
"20370","2","30",
"20371","3","406192.775794",
"20372","4","14.9",
"20373","1","1.7",
"20374","2","30323943.243496",
"20375","3","645911.76817",
"20376","4","147.8",
"20377","1","335012426.08042",
"20378","2","32185.63151751",
"20379","3","16131.8112",
"20380","4","4.173",
"20381","1","2.33686",
"20382","2","17279846.601242",
"20383","3","89265.668253139",
"20384","4","132581.751654",
"20385","1","71186692.272159",
"20386","2","7931216",
"20387","3","641.67333978",
"20388","4","337935245.73057",
"20389","1","12.99335499",
"20390","2","51177",
"20391","3","1",
"20392","4","3578.988138437",
"20393","1","16524784.2",
"20394","2","317589.9",
"20395","3","57044938.056083",
"20396","4","284838.50934",
"20397","1","1710.53",
"20398","2","95.19",
"20399","3","3.48260721",
"20400","4","16",
"20401","1","92841785",
"20402","2","973.5319",
"20403","3","5205626.543892",
"20404","4","0",
"20405","1","8065.9875939",
"20406","2","16686.9",
"20407","3","386.507186669",
"20408","4","179343.47723",
"20409","1","2162024",
"20410","2","26.53",
"20411","3","59262640.213",
"20412","4","410294",
"20413","1","13358941.182454",
"20414","2","11831.3540616",
"20415","3","316131233.78",
"20416","4","6.003932",
"20417","1","159",
"20418","2","7875",
"20419","3","2798.103246",
"20420","4","2302010.1781",
"20421","1","0.703158",
"20422","2","0",
"20423","3","3696036.8",
"20424","4","207.405332018",
"20425","1","0",
"20426","2","1.299",
"20427","3","167491704.819",
"20428","4","1778.2403",
"20429","1","860.94531",
"20430","2","49458",
"20431","3","426582.4",
"20432","4","7.9085478",
"20433","1","378",
"20434","2","120746",
"20435","3","585.574",
"20436","4","52921.47236",
"20437","1","203602395.435",
"20438","2","30171625.4",
"20439","3","302913070.64476",
"20440","4","185.8924",
"20441","1","0",
"20442","2","49399776.24522",
"20443","3","19292782.4885",
"20444","4","193.406191",
"20445","1","50.56130703",
"20446","2","3553.647875126",
"20447","3","3067.92610798",
"20448","4","26969029.403855",
"20449","1","25654749.377266",
"20450","2","2.15305712",
"20451","3","6739.9515",
"20452","4","81",
"20453","1","3.62",
"20454","2","563041.5626365",
"20455","3","51",
"20456","4","71738.24662",
"20457","1","1464.963",
"20458","2","437337292.0466",
"20459","3","256.697",
"20460","4","18246650.392426",
"20461","1","0.1",
"20462","2","17.92",
"20463","3","0.36",
"20464","4","224832764.0432",
"20465","1","649872",
"20466","2","11205.441611",
"20467","3","22.1",
"20468","4","0.518308",
"20469","1","0",
"20470","2","754.249684",
"20471","3","0",
"20472","4","262056044",
"20473","1","5046.810984462",
"20474","2","142.178706172",
"20475","3","0",
"20476","4","238609.88562",
"20477","1","725051.743",
"20478","2","68.559828552",
"20479","3","0",
"20480","4","10.9625",
"20481","1","4",
"20482","2","433.2311472",
"20483","3","241.858341",
"20484","4","11890.79",
"20485","1","48154026.53456",
"20486","2","18924.24802757",
"20487","3","100757721.11304",
"20488","4","3.8844",
"20489","1","9288080.1368646",
"20490","2","4",
"20491","3","297545564.5911",
"20492","4","54885.02893643",
"20493","1","0",
"20494","2","293408619.38454",
"20495","3","4.0244",
"20496","4","168322926.01615",
"20497","1","390014",
"20498","2","8.07",
"20499","3","3939",
"20500","4","1756.52",
"20501","1","7499577.33",
"20502","2","0",
"20503","3","155.5009",
"20504","4","34360737.982807",
"20505","1","5.6909",
"20506","2","184126310.27004",
"20507","3","1696.44458",
"20508","4","227.31171308",
"20509","1","0",
"20510","2","18312.95193",
"20511","3","8213.645971918",
"20512","4","161.54",
"20513","1","0",
"20514","2","0.65458",
"20515","3","0",
"20516","4","158320.90361685",
"20517","1","73839.33593606",
"20518","2","136",
"20519","3","199",
"20520","4","21514927.313",
"20521","1","10885.0316032",
"20522","2","22375.1919407",
"20523","3","20845.306",
"20524","4","16713.9684",
"20525","1","2096.1",
"20526","2","1009371.64",
"20527","3","91.610975",
"20528","4","32.085791059",
"20529","1","627",
"20530","2","172.741",
"20531","3","35579.631744353",
"20532","4","1.042",
"20533","1","234973806.7135",
"20534","2","57.5969108",
"20535","3","0",
"20536","4","51.130201798",
"20537","1","1485318",
"20538","2","474.85",
"20539","3","204110970.707",
"20540","4","0",
"20541","1","21.3",
"20542","2","2669.1038",
"20543","3","0.71941777",
"20544","4","55146844.690838",
"20545","1","78557677.205963",
"20546","2","0.7327",
"20547","3","24.03",
"20548","4","1500828.3464254",
"20549","1","0",
"20550","2","2459487.1",
"20551","3","7551",
"20552","4","8604.246",
"20553","1","0.762560771",
"20554","2","6.5783157",
"20555","3","3957595.408",
"20556","4","33716.29",
"20557","1","5670956.493",
"20558","2","11.1495984",
"20559","3","3543.479313452",
"20560","4","2.35",
"20561","1","0",
"20562","2","0.74",
"20563","3","2522.12816066",
"20564","4","1617011",
"20565","1","300233.5",
"20566","2","0",
"20567","3","1339.5995",
"20568","4","16.34",
"20569","1","0",
"20570","2","74",
"20571","3","2867864.4743549",
"20572","4","0.56",
"20573","1","3116049.0951149",
"20574","2","41982.142793",
"20575","3","1043.9562",
"20576","4","2.834",
"20577","1","71416",
"20578","2","2323.09843756",
"20579","3","1905532.9",
"20580","4","604821748.20481",
"20581","1","320972.7",
"20582","2","3386893.62",
"20583","3","1487049.639281",
"20584","4","0",
"20585","1","50001.743204052",
"20586","2","2486.6728697",
"20587","3","47400.736788",
"20588","4","1.830358839",
"20589","1","46",
"20590","2","462417",
"20591","3","1.9328",
"20592","4","8.79",
"20593","1","76",
"20594","2","8736513.8",
"20595","3","29",
"20596","4","111717747.758",
"20597","1","10710633.54555",
"20598","2","32653",
"20599","3","11917476.47",
"20600","4","8240357",
"20601","1","0",
"20602","2","0",
"20603","3","78760",
"20604","4","23489.79277684",
"20605","1","58.400462292",
"20606","2","0",
"20607","3","2958190.3",
"20608","4","2.8583146",
"20609","1","51440.793510976",
"20610","2","209462",
"20611","3","65.78276",
"20612","4","0.4545138",
"20613","1","1",
"20614","2","3180.357",
"20615","3","1.3592",
"20616","4","2.94117",
"20617","1","155.84691676",
"20618","2","506527",
"20619","3","31800.7878",
"20620","4","21959.648337",
"20621","1","17.4637",
"20622","2","49354292.38115",
"20623","3","331605286.6055",
"20624","4","20885747.23",
"20625","1","0",
"20626","2","183.35476",
"20627","3","6205752",
"20628","4","1471.955546",
"20629","1","67554.46",
"20630","2","31119711.75",
"20631","3","32296.79",
"20632","4","11625.61",
"20633","1","5419704.862",
"20634","2","3026.101195",
"20635","3","0.80586",
"20636","4","186178030",
"20637","1","76097",
"20638","2","99631.6417555",
"20639","3","194.72984",
"20640","4","1",
"20641","1","1.94",
"20642","2","2099388.0739",
"20643","3","7.2591333",
"20644","4","0.689773",
"20645","1","1.359222806",
"20646","2","0",
"20647","3","128.13366",
"20648","4","38200.206428",
"20649","1","20",
"20650","2","0",
"20651","3","783931087.44395",
"20652","4","3384.58409302",
"20653","1","1.995063",
"20654","2","357.248363822",
"20655","3","2235.88964498",
"20656","4","398",
"20657","1","109608563.40711",
"20658","2","45924443.516096",
"20659","3","12267",
"20660","4","1.931",
"20661","1","1609980.61404",
"20662","2","451.961",
"20663","3","1.4",
"20664","4","0",
"20665","1","0",
"20666","2","358577281.5",
"20667","3","0",
"20668","4","1946436.1040984",
"20669","1","26359103.799",
"20670","2","6832.7395",
"20671","3","532307.1944",
"20672","4","0",
"20673","1","62830214.025013",
"20674","2","3892.93374",
"20675","3","3266637.891",
"20676","4","74161",
"20677","1","41.63347",
"20678","2","75861132.4",
"20679","3","200653324.1799",
"20680","4","96511.3551",
"20681","1","4253162",
"20682","2","2345061.2497",
"20683","3","21.40679154",
"20684","4","35.79637816",
"20685","1","0",
"20686","2","42114411.83067",
"20687","3","250864.845",
"20688","4","63.112003594",
"20689","1","16933.935934",
"20690","2","7594.621731484",
"20691","3","404777.401903",
"20692","4","33139.798631528",
"20693","1","1002359.126152",
"20694","2","0",
