"CreditLineId","CurrencyId","Amount","Type","Included",
"50001","1","42678953.43","'InterimBooked'","0",
"50002","2","2999310","'InterimBooked'","0",
"50003","3","172355687","'Passed'","0",
"50004","4","57048.467969","'InterimBooked'","0",
"50005","1","34818882.967","'Passed'","0",
"50006","2","112.195912292","'Passed'","0",
"50007","3","30.4782","'InterimBooked'","0",
"50008","4","2400759.67669","'Passed'","0",
"50009","1","276754191.20473","'Passed'","0",
"50010","2","13455.6","'Passed'","0",
"50011","3","4870.61028544","'InterimBooked'","0",
"50012","4","4726.0087862","'InterimBooked'","0",
"50013","1","53156.1","'InterimBooked'","0",
"50014","2","1622.96","'Passed'","0",
"50015","3","548.49643","'Passed'","0",
"50016","4","2.72139","'Passed'","0",
"50017","1","45945.81979835","'InterimBooked'","0",
"50018","2","312958884.8921","'Passed'","0",
"50019","3","1571.754","'InterimBooked'","0",
"50020","4","0.94590688","'InterimBooked'","0",
"50021","1","46.09","'InterimBooked'","0",
"50022","2","146.062","'InterimBooked'","0",
"50023","3","295.1208","'InterimBooked'","0",
"50024","4","4652.994039578","'InterimBooked'","0",
"50025","1","93602.200067898","'InterimBooked'","0",
"50026","2","4056008","'Passed'","0",
"50027","3","12095.165748568","'Passed'","0",
"50028","4","26723","'InterimBooked'","0",
"50029","1","105771735.982","'Passed'","0",
"50030","2","15543.216980111","'Passed'","0",
"50031","3","13100.276029","'InterimBooked'","0",
"50032","4","4110327","'Passed'","0",
"50033","1","11","'InterimBooked'","0",
"50034","2","0","'InterimBooked'","0",
"50035","3","0","'Passed'","0",
"50036","4","461.254","'Passed'","0",
"50037","1","38705.2359913","'Passed'","0",
"50038","2","88","'Passed'","0",
"50039","3","6636.03","'Passed'","0",
"50040","4","4491.33","'Passed'","0",
"50041","1","75027.249","'InterimBooked'","0",
"50042","2","0","'InterimBooked'","0",
"50043","3","420458101","'InterimBooked'","0",
"50044","4","22.58","'InterimBooked'","0",
"50045","1","2.8","'InterimBooked'","0",
"50046","2","583851350.387","'InterimBooked'","0",
"50047","3","183831.76177","'Passed'","0",
"50048","4","0","'InterimBooked'","0",
"50049","1","3293.34349158","'InterimBooked'","0",
"50050","2","62044132.81366","'InterimBooked'","0",
"50051","3","30027.0087045","'InterimBooked'","0",
"50052","4","71519.80289946","'Passed'","0",
"50053","1","2.9249","'InterimBooked'","0",
"50054","2","2174.80431472","'InterimBooked'","0",
"50055","3","0","'Passed'","0",
