"AccountId","DateTime","CreditDebitIndicator","Type","AmountId","CreditLineId",
"22","1971-11-14 00:28:24.00","'Credit'","'Business'","26560","",
"223","2020-02-22 16:02:38.00","'Credit'","'Business'","29166","",
"274","1997-07-15 10:13:58.00","'Credit'","'Business'","29827","",
"330","1973-03-15 12:41:10.00","'Debit'","'Particular'","27711","",
"340","1970-07-05 08:37:07.00","'Debit'","'Particular'","28552","",
"427","2015-10-06 07:59:59.00","'Credit'","'Business'","27103","",
"527","1991-08-19 20:34:35.00","'Debit'","'Particular'","24763","",
"540","1982-10-15 19:43:04.00","'Credit'","'Business'","26833","",
"543","2014-07-29 05:29:25.00","'Debit'","'Business'","22379","",
"551","2000-01-07 18:08:38.00","'Debit'","'Business'","23847","",
"674","1992-02-25 23:18:41.00","'Credit'","'Business'","28780","",
"727","1980-11-12 14:54:03.00","'Debit'","'Particular'","28262","",
"787","2013-01-26 06:10:42.00","'Debit'","'Business'","21937","",
"929","1990-12-26 18:12:09.00","'Credit'","'Particular'","27138","",
"942","1973-12-04 23:19:45.00","'Debit'","'Particular'","23459","",
"964","1989-03-03 17:53:48.00","'Credit'","'Particular'","25154","",
"973","1985-11-02 05:14:27.00","'Debit'","'Business'","25815","",
"996","1975-07-03 12:57:30.00","'Credit'","'Particular'","22878","",
"1012","1974-08-04 13:31:22.00","'Debit'","'Business'","29665","",
"1057","1993-05-04 13:32:18.00","'Debit'","'Particular'","26339","",
"1374","1994-06-30 07:59:59.00","'Credit'","'Particular'","27080","",
"1946","1973-06-28 12:43:25.00","'Credit'","'Particular'","23587","",
"2696","1985-05-21 02:02:05.00","'Debit'","'Particular'","29602","",
"2775","1994-11-14 12:03:36.00","'Debit'","'Particular'","20275","",
"2957","1980-08-21 21:45:04.00","'Credit'","'Business'","23857","",
"3213","1990-07-03 21:04:24.00","'Credit'","'Particular'","22429","",
"3370","2002-10-14 03:32:10.00","'Debit'","'Particular'","28494","",
"3517","1976-05-21 00:54:05.00","'Credit'","'Particular'","26841","",
"4053","2019-07-31 07:02:53.00","'Credit'","'Business'","27416","",
"4174","2008-07-13 21:25:58.00","'Debit'","'Particular'","21395","",
"4265","1987-05-25 17:18:04.00","'Debit'","'Particular'","22930","",
"4545","1979-11-13 05:35:54.00","'Debit'","'Particular'","23127","",
"4672","2013-03-06 04:06:17.00","'Debit'","'Business'","27853","",
"4680","2005-09-05 04:16:38.00","'Debit'","'Particular'","23352","",
"5353","2014-04-15 20:13:05.00","'Credit'","'Business'","25300","",
"5627","1997-02-06 06:54:54.00","'Debit'","'Business'","22811","",
"5638","1986-12-23 08:43:35.00","'Debit'","'Particular'","28997","",
"5903","2019-01-22 22:04:58.00","'Credit'","'Business'","29868","",
"5966","1985-05-27 14:06:22.00","'Debit'","'Particular'","25711","",
"6370","1972-09-23 01:29:00.00","'Credit'","'Particular'","20497","",
"6605","1971-02-09 20:49:21.00","'Credit'","'Particular'","29044","",
"7038","1988-05-28 15:40:49.00","'Debit'","'Particular'","28963","",
"7131","1995-12-28 17:57:04.00","'Credit'","'Business'","26003","",
"7228","1990-08-30 06:07:31.00","'Credit'","'Particular'","25273","",
