"AmountId","CurrencyId","Amount",
"1","1","4.418",
"2","2","507242.02784774",
"3","3","34.418541096",
"4","4","75",
"5","1","39968547.9586",
"6","2","57558538",
"7","3","68.3",
"8","4","244356.781074",
"9","1","235.24",
"10","2","0",
"11","3","458136.0142023",
"12","4","56666.66945986",
"13","1","742.80642982",
"14","2","580241.2",
"15","3","0",
"16","4","1516818.59617",
"17","1","3.1",
"18","2","122917.112547",
"19","3","0.0486",
"20","4","98379.249",
"21","1","0",
"22","2","52195.278969",
"23","3","149120.57071658",
"24","4","5024.10908",
"25","1","24.3822832",
"26","2","860655.349124",
"27","3","943.705382",
"28","4","663070870.69556",
"29","1","101557523.50115",
"30","2","0.7",
"31","3","0",
"32","4","755880.1",
"33","1","3490322.8",
"34","2","0",
"35","3","60199217.538972",
"36","4","332.381",
"37","1","106.320730397",
"38","2","10214804.365858",
"39","3","301221.8",
"40","4","4.6354298",
"41","1","206502211.5732",
"42","2","10489.14",
"43","3","30563008.230089",
"44","4","1663997.422",
"45","1","22421.171",
"46","2","3522507.117",
"47","3","195342733.4268",
"48","4","5.83255608",
"49","1","97765102.94",
"50","2","45745089.900948",
"51","3","4256132.261",
"52","4","41.8",
"53","1","29934.66133462",
"54","2","21693351.58",
"55","3","1181898.1327254",
"56","4","165098.2732101",
"57","1","301833668",
"58","2","1",
"59","3","754.88086",
"60","4","889337.2",
"61","1","0",
"62","2","0",
"63","3","2854",
"64","4","112694.9",
"65","1","0.470623301",
"66","2","930365.88854813",
"67","3","1606.8182294",
"68","4","2.4562",
"69","1","15140654",
"70","2","3818.74873958",
"71","3","3821544.13",
"72","4","0",
"73","1","0",
"74","2","33.9464",
"75","3","255518.79312",
"76","4","1572567.535096",
"77","1","2.286",
"78","2","219951461.20293",
"79","3","5.9",
"80","4","20518.00902",
"81","1","428236.406",
"82","2","4931097.672054",
"83","3","298616356.62719",
"84","4","141491.42212",
"85","1","647123.20586",
"86","2","749.6",
"87","3","187.53",
"88","4","5.92",
"89","1","247.442592",
"90","2","0",
"91","3","41.5894271",
"92","4","1217309.454565",
"93","1","354339.5",
"94","2","581.814039255",
"95","3","501.19",
"96","4","10614268.52537",
"97","1","262887",
"98","2","7",
"99","3","2171297.8600348",
"100","4","18",
"101","1","0",
"102","2","98.2019",
"103","3","0",
"104","4","0",
"105","1","2.2308",
"106","2","145717259.45705",
"107","3","2308.1",
"108","4","56028.44553491",
"109","1","45.3411",
"110","2","2.02793",
"111","3","27735931",
"112","4","275810733.0415",
"113","1","0",
"114","2","0",
"115","3","2885.37",
"116","4","7301.28",
"117","1","776679.813",
"118","2","7925215.1511555",
"119","3","0.599000278",
"120","4","390057.2772359",
"121","1","0",
"122","2","326.717",
"123","3","1031.196",
"124","4","0.74742577",
"125","1","1115.02938",
"126","2","57775.8309669",
"127","3","0",
"128","4","73405.8",
"129","1","0.665403",
"130","2","7039.03140075",
"131","3","11.643",
"132","4","739.269365",
"133","1","1376025.8798535",
"134","2","27894863.0838",
"135","3","1.6402496",
"136","4","601016.3415328",
"137","1","27549047.801518",
"138","2","226.647",
"139","3","133",
"140","4","921.962859",
"141","1","0.5",
"142","2","2",
"143","3","109251.84",
"144","4","68467106.456",
"145","1","4362.0635",
"146","2","25746.8032",
"147","3","36632.28",
"148","4","0",
"149","1","84592.346944",
"150","2","403228.37048817",
"151","3","15.5380892",
"152","4","8466843.7271172",
"153","1","0",
"154","2","1593.135",
"155","3","0",
"156","4","372.3",
"157","1","132204.609",
"158","2","8112097.0681148",
"159","3","709639.4294773",
"160","4","448514.23520711",
"161","1","187444.02676033",
"162","2","0",
"163","3","18492397.785",
"164","4","0",
