"AccountId","PartyId","Status","StatusUpdateDateTime","AccountType","NickName","OpeningDate","AccountSubType",
"1","1","'Disabled'","2015-03-09 16:45:49.00","'Business'","generate 24/7 bandwidth","2014-03-08 20:17:20.00","'POI'",
"2","2","'Enabled'","2012-12-16 17:32:43.00","'Particular'","revolutionize open-source initiatives","2002-05-05 03:35:24.00","'SAI'",
"3","3","'Enabled'","1973-08-13 03:40:52.00","'Business'","transform impactful deliverables","2019-12-10 03:57:53.00","'EDP'",
"4","4","'Enabled'","1996-12-12 20:23:48.00","'Business'","incentivize mission-critical infomediaries","2004-12-28 10:21:45.00","'POI'",
"5","5","'Enabled'","1992-07-02 23:39:23.00","'Business'","disintermediate global e-services","1993-01-13 02:36:23.00","'EDP'",
"6","6","'Disabled'","2000-02-28 07:28:37.00","'Particular'","productize killer e-tailers","2015-12-24 20:08:03.00","'EDP'",
"7","7","'Disabled'","1986-08-13 15:28:06.00","'Business'","synthesize holistic supply-chains","1971-11-02 08:37:22.00","'SAI'",
"8","8","'Disabled'","2000-11-30 05:07:42.00","'Particular'","leverage plug-and-play systems","2005-07-24 23:23:11.00","'POI'",
"9","9","'Enabled'","1977-10-13 11:12:59.00","'Particular'","repurpose customized partnerships","1999-05-04 04:42:59.00","'SAI'",
"10","10","'Disabled'","2001-05-13 06:11:06.00","'Business'","architect intuitive e-services","2015-01-03 16:49:50.00","'EDP'",
"11","11","'Disabled'","2001-03-28 07:43:21.00","'Particular'","utilize web-enabled paradigms","1990-09-08 17:10:57.00","'EDP'",
"12","12","'Enabled'","1988-02-21 10:10:18.00","'Business'","orchestrate plug-and-play technologies","2015-04-18 07:57:05.00","'SAI'",
"13","13","'Enabled'","1972-08-27 05:47:40.00","'Business'","envisioneer vertical interfaces","2001-02-10 14:19:48.00","'SAI'",
"14","14","'Disabled'","1994-06-05 08:10:22.00","'Business'","extend B2B mindshare","2000-03-27 11:03:27.00","'EDP'",
"15","15","'Enabled'","2015-07-24 03:07:52.00","'Particular'","engineer end-to-end paradigms","2014-03-19 15:51:40.00","'SAI'",
"16","16","'Disabled'","1989-05-27 18:04:47.00","'Business'","streamline transparent applications","1990-03-24 01:11:31.00","'SAI'",
"17","17","'Enabled'","1997-09-19 14:59:09.00","'Business'","unleash extensible experiences","1995-12-29 18:18:55.00","'EDP'",
"18","18","'Enabled'","1981-01-26 07:59:30.00","'Business'","harness e-business channels","1987-01-04 16:21:02.00","'POI'",
"19","19","'Enabled'","1996-05-06 03:41:46.00","'Business'","envisioneer enterprise experiences","1975-10-16 08:16:53.00","'SAI'",
"20","20","'Disabled'","1977-07-08 19:15:43.00","'Business'","visualize customized action-items","1984-03-26 06:19:22.00","'SAI'",
"21","21","'Disabled'","1982-04-26 00:50:51.00","'Particular'","harness back-end markets","1981-11-24 07:27:36.00","'POI'",
"22","22","'Disabled'","1981-06-25 02:55:23.00","'Business'","utilize customized e-markets","2014-01-23 19:08:21.00","'POI'",
"23","23","'Disabled'","1987-09-26 02:11:28.00","'Business'","innovate interactive experiences","1970-05-07 06:57:46.00","'POI'",
"24","24","'Disabled'","2007-05-06 09:41:25.00","'Particular'","revolutionize efficient solutions","2002-05-29 00:02:33.00","'SAI'",
"25","25","'Enabled'","1985-06-12 03:28:52.00","'Business'","monetize best-of-breed infomediaries","1980-12-05 12:33:20.00","'POI'",
"26","26","'Enabled'","1978-02-12 05:01:10.00","'Particular'","utilize world-class communities","1978-04-17 15:40:10.00","'SAI'",
"27","27","'Enabled'","1989-04-27 02:57:31.00","'Particular'","optimize user-centric markets","1983-02-09 17:12:18.00","'EDP'",
"28","28","'Disabled'","1995-12-16 07:13:27.00","'Particular'","generate 24/7 methodologies","1982-08-18 10:52:14.00","'SAI'",
"29","29","'Enabled'","2010-02-14 15:10:57.00","'Business'","exploit plug-and-play networks","1982-06-28 01:23:33.00","'EDP'",
"30","30","'Disabled'","1984-12-26 13:05:35.00","'Particular'","optimize world-class web-readiness","2009-05-22 00:59:31.00","'EDP'",
"31","31","'Disabled'","1996-12-07 04:07:33.00","'Particular'","aggregate innovative e-business","1972-01-03 04:12:45.00","'SAI'",
"32","32","'Disabled'","1984-10-31 22:35:21.00","'Particular'","grow scalable synergies","1974-11-26 19:20:55.00","'POI'",
"33","33","'Disabled'","2011-12-21 22:16:16.00","'Particular'","expedite granular content","2010-05-20 00:47:03.00","'SAI'",
"34","34","'Disabled'","2012-05-24 18:30:29.00","'Particular'","transform front-end e-commerce","2022-01-29 05:31:28.00","'EDP'",
"35","35","'Enabled'","2000-02-09 03:26:52.00","'Business'","innovate one-to-one markets","1983-02-03 13:42:57.00","'POI'",
"36","36","'Enabled'","2006-09-14 02:54:59.00","'Business'","reinvent proactive e-services","1977-11-19 08:13:16.00","'POI'",
"37","37","'Disabled'","2020-10-28 09:17:49.00","'Business'","envisioneer visionary infrastructures","2005-05-29 08:05:33.00","'EDP'",
"38","38","'Disabled'","2011-06-10 00:57:42.00","'Business'","orchestrate back-end action-items","2016-10-25 09:43:04.00","'SAI'",
"39","39","'Enabled'","1971-07-23 06:34:50.00","'Particular'","grow visionary partnerships","1976-12-24 04:15:01.00","'SAI'",
"40","40","'Enabled'","1994-02-08 04:52:07.00","'Particular'","transform B2C infrastructures","1978-03-03 16:36:18.00","'SAI'",
"41","41","'Disabled'","2000-09-16 07:46:37.00","'Particular'","envisioneer sexy channels","2011-03-18 04:45:35.00","'SAI'",
"42","42","'Enabled'","1987-09-09 03:51:18.00","'Business'","facilitate vertical convergence","2002-11-13 22:04:49.00","'EDP'",
"43","43","'Enabled'","2015-09-27 05:36:27.00","'Particular'","drive clicks-and-mortar experiences","2019-12-24 08:40:11.00","'POI'",
"44","44","'Disabled'","1972-07-13 12:55:54.00","'Particular'","scale compelling deliverables","2017-08-13 17:46:52.00","'POI'",
"45","45","'Disabled'","2011-09-28 07:00:46.00","'Particular'","deploy collaborative applications","2003-10-27 21:42:16.00","'POI'",
"46","46","'Enabled'","1972-10-19 03:07:01.00","'Particular'","grow frictionless deliverables","1990-03-21 13:59:21.00","'SAI'",
"47","47","'Disabled'","2017-09-11 06:46:09.00","'Business'","synthesize global methodologies","2012-11-28 18:54:14.00","'SAI'",
"48","48","'Disabled'","1974-06-07 05:27:12.00","'Particular'","whiteboard B2C partnerships","1977-11-10 07:15:18.00","'SAI'",
"49","49","'Enabled'","1980-09-27 10:13:23.00","'Particular'","whiteboard strategic e-commerce","2008-04-19 08:20:07.00","'POI'",
"50","50","'Enabled'","1997-01-22 03:52:14.00","'Particular'","evolve B2B initiatives","1997-09-19 07:22:08.00","'EDP'",
"51","51","'Disabled'","1980-11-12 23:03:34.00","'Particular'","extend distributed e-services","2012-10-21 11:41:07.00","'POI'",
"52","52","'Enabled'","2015-11-02 23:54:40.00","'Business'","scale global e-business","1985-04-29 04:23:47.00","'EDP'",
"53","53","'Enabled'","1974-09-15 17:40:03.00","'Business'","visualize front-end e-business","2021-05-07 10:10:27.00","'POI'",
"54","54","'Enabled'","2011-02-19 22:00:42.00","'Business'","incentivize global content","1992-11-02 21:50:46.00","'SAI'",
"55","55","'Enabled'","1995-06-11 12:43:55.00","'Business'","aggregate front-end infomediaries","1983-10-24 02:21:56.00","'EDP'",
"56","56","'Enabled'","2020-12-14 17:03:56.00","'Business'","embrace frictionless synergies","2016-04-11 17:18:39.00","'EDP'",
"57","57","'Disabled'","1980-02-20 18:19:31.00","'Business'","monetize revolutionary niches","2004-10-13 17:42:54.00","'POI'",
"58","58","'Disabled'","2016-11-12 13:41:44.00","'Particular'","benchmark visionary metrics","2006-03-19 12:44:00.00","'EDP'",
"59","59","'Enabled'","1972-08-03 13:52:53.00","'Particular'","generate B2C systems","1970-09-03 18:50:15.00","'SAI'",
"60","60","'Disabled'","2017-06-05 03:18:20.00","'Particular'","architect collaborative action-items","2006-05-29 01:11:45.00","'EDP'",
"61","61","'Enabled'","2021-12-28 04:31:16.00","'Particular'","syndicate killer models","1977-11-08 20:05:19.00","'POI'",
"62","62","'Enabled'","1989-02-07 08:42:16.00","'Business'","cultivate one-to-one models","1979-08-01 10:42:40.00","'POI'",
"63","63","'Enabled'","1982-03-07 13:48:30.00","'Particular'","engage distributed infrastructures","1973-06-16 10:23:34.00","'SAI'",
"64","64","'Enabled'","1988-11-17 02:04:16.00","'Particular'","repurpose rich architectures","1981-02-23 03:26:33.00","'POI'",
"65","65","'Disabled'","1977-03-24 17:48:35.00","'Business'","scale dot-com vortals","1983-08-13 04:40:30.00","'SAI'",
"66","66","'Enabled'","1985-10-10 20:55:50.00","'Particular'","engage intuitive bandwidth","2000-05-16 19:17:35.00","'POI'",
"67","67","'Disabled'","2021-12-19 21:56:24.00","'Particular'","exploit clicks-and-mortar synergies","2011-11-29 19:26:47.00","'POI'",
"68","68","'Disabled'","2006-12-09 10:03:56.00","'Particular'","redefine revolutionary e-commerce","2017-09-30 03:13:03.00","'EDP'",
"69","69","'Enabled'","2011-05-08 22:34:51.00","'Business'","envisioneer 24/7 solutions","1990-01-28 08:21:34.00","'POI'",
"70","70","'Enabled'","2012-02-20 03:27:20.00","'Particular'","incubate efficient applications","2014-04-25 00:46:37.00","'POI'",
"71","71","'Disabled'","1998-09-12 11:41:50.00","'Particular'","morph dynamic portals","1976-01-14 04:46:54.00","'EDP'",
"72","72","'Enabled'","1999-07-07 02:24:13.00","'Particular'","integrate impactful mindshare","2013-07-21 12:22:19.00","'EDP'",
"73","73","'Enabled'","1989-10-19 20:00:00.00","'Business'","engineer customized vortals","1997-02-09 08:22:37.00","'SAI'",
"74","74","'Disabled'","1982-02-21 08:52:36.00","'Business'","reintermediate cross-platform initiatives","2018-09-27 21:00:42.00","'EDP'",
