"AccountId","DateTime","CreditDebitIndicator","Type","AmountId","CreditLineId",
"5","2017-06-24 15:55:50.00","'Credit'","'Business'","2723","5",
"8","1990-07-01 15:12:21.00","'Credit'","'Business'","5","8",
"10","2019-05-23 09:23:59.00","'Credit'","'Particular'","35","10",
"15","2020-05-19 13:48:05.00","'Credit'","'Business'","75","15",
"19","2005-08-17 22:22:25.00","'Debit'","'Particular'","3835","19",
"21","1997-03-28 01:46:34.00","'Credit'","'Business'","1609","21",
"24","2019-10-12 06:10:27.00","'Debit'","'Business'","13","24",
"26","2007-07-03 18:02:54.00","'Credit'","'Particular'","3","26",
"32","1997-03-31 03:33:25.00","'Credit'","'Business'","187","32",
"37","1988-09-10 05:44:40.00","'Credit'","'Particular'","60","37",
"40","2002-07-23 15:38:36.00","'Credit'","'Business'","1245","40",
"42","2012-07-17 06:26:42.00","'Credit'","'Particular'","16","42",
"44","1975-04-20 18:25:56.00","'Debit'","'Particular'","6032","44",
"45","1996-01-01 06:34:59.00","'Debit'","'Particular'","334","45",
"47","1990-04-05 09:43:31.00","'Debit'","'Business'","1","47",
"58","1983-04-10 22:28:31.00","'Debit'","'Business'","337","58",
"60","2008-01-30 20:42:00.00","'Debit'","'Business'","2","60",
"61","1986-03-02 11:08:20.00","'Debit'","'Particular'","354","61",
"64","2005-03-23 15:59:46.00","'Debit'","'Particular'","4331","64",
"66","2014-06-07 02:18:45.00","'Credit'","'Particular'","1915","66",
"67","1986-11-17 23:37:33.00","'Credit'","'Business'","40","67",
"70","1980-09-05 13:22:24.00","'Credit'","'Business'","338","70",
"73","1980-01-19 06:12:26.00","'Debit'","'Particular'","4","73",
"75","1973-01-25 20:27:00.00","'Debit'","'Business'","15","75",
"79","1980-05-07 14:24:20.00","'Debit'","'Particular'","21","79",
"80","1972-05-25 12:42:38.00","'Credit'","'Business'","24","80",
"82","1977-06-08 10:37:43.00","'Debit'","'Particular'","663","82",
"87","1989-02-12 02:55:19.00","'Debit'","'Particular'","2832","87",
"92","2019-12-08 02:59:49.00","'Credit'","'Particular'","715","92",
"100","1999-03-25 11:52:20.00","'Debit'","'Business'","462","100",
"103","1978-02-08 16:07:16.00","'Credit'","'Particular'","5448","103",
"104","2014-02-24 08:31:59.00","'Credit'","'Particular'","395","104",
"107","1990-12-22 11:26:10.00","'Debit'","'Particular'","116","107",
"113","1979-09-09 19:30:35.00","'Credit'","'Particular'","6079","113",
"118","1971-03-28 21:02:23.00","'Credit'","'Particular'","89","118",
"128","2021-06-21 15:01:06.00","'Debit'","'Particular'","492","128",
"130","2002-05-28 12:40:41.00","'Debit'","'Business'","3783","130",
"131","1983-11-21 14:27:35.00","'Credit'","'Business'","27","131",
"135","2016-11-21 21:18:42.00","'Debit'","'Business'","5899","135",
"136","2004-05-25 10:20:02.00","'Credit'","'Business'","4679","136",
"137","1997-03-17 05:41:46.00","'Credit'","'Business'","800","137",
"139","1998-05-19 12:37:25.00","'Debit'","'Particular'","31","139",
"140","2006-02-19 22:08:54.00","'Debit'","'Particular'","1628","140",
"147","2010-06-12 22:32:54.00","'Debit'","'Particular'","420","147",
"148","1994-09-19 13:39:32.00","'Debit'","'Business'","970","148",
"150","1995-04-23 00:16:02.00","'Credit'","'Particular'","523","150",
"152","2020-09-30 00:03:51.00","'Credit'","'Particular'","5266","152",
"155","1988-12-14 16:56:56.00","'Credit'","'Particular'","267","155",
"163","1975-04-03 01:53:41.00","'Debit'","'Business'","457","163",
"166","1986-01-14 23:17:35.00","'Credit'","'Business'","6444","166",
"173","1973-03-19 16:37:26.00","'Debit'","'Particular'","255","173",
"174","1982-01-13 19:40:41.00","'Debit'","'Business'","253","174",
"175","1999-05-13 00:36:23.00","'Debit'","'Particular'","68","175",
"180","2001-09-11 03:36:22.00","'Debit'","'Particular'","261","180",
"189","2019-01-29 09:40:18.00","'Credit'","'Particular'","2109","189",
"193","1987-02-12 21:04:40.00","'Debit'","'Particular'","450","193",
"195","1981-02-14 15:58:47.00","'Debit'","'Particular'","78","195",
"196","2019-11-12 19:42:11.00","'Debit'","'Particular'","108","196",
"200","1999-12-23 20:18:27.00","'Credit'","'Business'","200","200",
"202","1986-02-02 05:34:32.00","'Debit'","'Particular'","1725","202",
"204","1971-05-26 03:56:42.00","'Debit'","'Particular'","49","204",
"205","2016-02-13 23:31:26.00","'Debit'","'Particular'","79","205",
"210","1989-04-26 22:29:22.00","'Debit'","'Business'","521","210",
"212","2005-12-05 01:54:23.00","'Credit'","'Business'","18","212",
"215","2015-08-25 13:17:39.00","'Credit'","'Particular'","874","215",
"217","1978-01-11 17:08:29.00","'Debit'","'Business'","74","217",
"218","2000-09-15 19:00:28.00","'Credit'","'Business'","3078","218",
"221","1991-03-15 18:28:21.00","'Credit'","'Business'","91","221",
"225","2016-12-06 11:35:45.00","'Debit'","'Particular'","48","225",
"226","1970-01-18 20:00:49.00","'Debit'","'Business'","10","226",
"228","2004-04-25 10:57:10.00","'Debit'","'Business'","100","228",
"234","2016-12-14 00:32:13.00","'Credit'","'Business'","6238","234",
"239","2001-11-09 20:33:16.00","'Credit'","'Particular'","6","239",
"241","2017-07-31 06:12:43.00","'Credit'","'Business'","1906","241",
"243","1986-09-26 11:47:59.00","'Credit'","'Business'","393","243",
"245","1996-12-05 18:22:35.00","'Credit'","'Business'","2805","245",
"247","1989-07-06 13:28:43.00","'Credit'","'Business'","282","247",
"250","2000-08-12 21:06:28.00","'Credit'","'Business'","9784","250",
"252","2017-11-02 16:54:32.00","'Credit'","'Business'","699","252",
"253","2006-11-12 03:10:34.00","'Credit'","'Business'","51","253",
"254","2001-12-08 05:30:27.00","'Credit'","'Business'","2207","254",
"256","2014-09-02 01:18:40.00","'Credit'","'Particular'","2162","256",
"260","2008-04-27 15:00:55.00","'Credit'","'Particular'","7","260",
"266","1996-05-31 23:27:21.00","'Credit'","'Business'","20","266",
